Thu May 13 05:24:39 +0000 2021	{'neg': 0.204, 'neu': 0.796, 'pos': 0.0, 'compound': -0.3182}	b'China export delay halts Sinovac Covid-19 vaccine production in Brazil'
Thu May 13 04:36:16 +0000 2021	{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.2732}	b'China\'s Sinovac vaccine creates "pandemic oasis" in Brazilian town'
Thu May 13 04:22:44 +0000 2021	{'neg': 0.057, 'neu': 0.867, 'pos': 0.076, 'compound': 0.228}	b' Talk To clarify, I haven\xe2\x80\x99t seen anything positive about Sputnik and the Brazilian regulatory agency published very damning data about it. Also, I was offered the choice between Sinovac and BioNTech/Pfizer in Hong Kong and chose BNT based on all available published data, not politics.'
Thu May 13 03:48:48 +0000 2021	{'neg': 0.0, 'neu': 0.816, 'pos': 0.184, 'compound': 0.6605}	b'That was originally the case in HK. Then it became clear how Sinovac is less effective, and the only people getting it were the "patriotic" types'
Thu May 13 02:41:18 +0000 2021	{'neg': 0.25, 'neu': 0.657, 'pos': 0.093, 'compound': -0.8001}	b'2. FARCE 2: MEDICAL PROFESSIONALS in HONG KONG FORCED TO BELIEVE CARRIE LAM, XI JINPING &amp; SINOVAC over the SCIENTIFICALLY SUPERIOR PFIZER (May 12, 2021; 14:48 EDT) COMMUNISTCHINA XIJINPING CARRIELAM CCPCHINA CHINA CCP FAIL'
Thu May 13 02:08:29 +0000 2021	{'neg': 0.195, 'neu': 0.748, 'pos': 0.056, 'compound': -0.765}	b'No worry, instead of pushing China here, to push your own country to get the Sinovac vaccine firstly is more usefully. Because of the epidemic situation all over the world, I think what you saying here is just an utterly inadequate method in dealing with a severe situation.'
Thu May 13 02:00:03 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'As of 8pm last night, about 2,600 persons have made online bookings for receiving their first and second doses of the Sinovac vaccine, while about 7,600 persons have made online bookings for receiving their first and second doses of the BioNTech vaccine.'
Thu May 13 02:00:02 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'\xf0\x9f\x87\xad\xf0\x9f\x87\xb0 COVID-19 Vaccination Statistics, May 12th Sinovac: 3,852 received 1st dose. Total 489,856 3,442 received 2nd dose. Total 351,481 BioNTech: 7,785 received 1st dose. Total 622,264 10,620 received 2nd dose. Total 367,224 1st dose: 1,112,120 Fully vaccinated: 718,705'
Wed May 12 23:54:10 +0000 2021	{'neg': 0.0, 'neu': 0.764, 'pos': 0.236, 'compound': 0.5256}	b'Bloomberg: China Sinovac Shot Seen Highly Effective in Real World Study. via'
Wed May 12 15:49:56 +0000 2021	{'neg': 0.263, 'neu': 0.511, 'pos': 0.226, 'compound': -0.128}	b'Maybe because Sinovac is a load of shit efficacy wise?'
Wed May 12 15:41:20 +0000 2021	{'neg': 0.173, 'neu': 0.827, 'pos': 0.0, 'compound': -0.8221}	b'Very poor take up here unfortunately, Neil. There are enough vaccines for all 7 million residents, and you can choose either Sinovac or Pfizer BioNtech. Sadly the majority of Locals won\xe2\x80\x99t take it. We have very few Covid cases so it\xe2\x80\x99s not a priority for people.'
Wed May 12 14:57:09 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'Choice of vaccines made through online bookings (estimates) Sinovac 265,700 (25.1%) BioNTech 792,600 (74.9%)'
Wed May 12 14:51:19 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'\xf0\x9f\x87\xad\xf0\x9f\x87\xb0 May 12 Online vaccine signups (4/5) Sinovac 2600 \xe2\x86\x93500 BioNTech 7600 \xe2\x86\x932000 Overall 10200 \xe2\x86\x932500 Cases Involving Persons Sent to Hospital (Last 24 hours ending 0000 May 12): 9 Today\xe2\x80\x99s press release:'
Wed May 12 12:09:44 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'\xf0\x9f\x87\xad\xf0\x9f\x87\xb0 May 12 Vaccinations (2/5) -Sinovac 1st dose 3852 \xe2\x86\x937.6% 2nd dose 3442 \xe2\x86\x930.5% -BioNTech 1st dose 7785 \xe2\x86\x9314.1% 2nd dose 10620 \xe2\x86\x9310.2% Total Doses 1830825 -SV 841337 BNT 989488 -1st dose 1112120 SV 489856 BNT 622264 -2nd dose 718705 SV 351481 BNT 367224'
Wed May 12 12:09:08 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'Hong Kong \xf0\x9f\x87\xad\xf0\x9f\x87\xb0 May 12 Vaccinations 14.879% of population vaccinated 9.616% fully vaccinated 24.495 doses administered/100 people 0.156% newly vaccinated May 12: 25699 \xe2\x86\x939.9% -1st dose 11637 \xe2\x86\x9312.0% -2nd dose 14062 \xe2\x86\x938.0% -Sinovac 7294 \xe2\x86\x934.3% -BioNTech 18405 \xe2\x86\x9311.9%'
Wed May 12 10:38:46 +0000 2021	{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.4173}	b'That is why so many like me discontinued our Economist subscription. Just check out all the other reports on Sinovac in different countries.'
Wed May 12 09:22:46 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'Yin Weidong says that Sinovac is asking governments to speed up processes for approving a new variant-targeted version of CoronaVac. "We could enable mass production for vaccines against new variants in two months"'
Wed May 12 08:20:01 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'Coronavirus: Sinovac vaccine causes \xe2\x80\x98drastic drop\xe2\x80\x99 in deaths, infections among Indonesian health workers'
Wed May 12 08:17:28 +0000 2021	{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.6137}	b'Took sinovac here in HK 3 weeks ago, about to take a 2nd dose on Friday. No side effects at all for me but for my wife a little tired.'
Wed May 12 07:23:13 +0000 2021	{'neg': 0.0, 'neu': 0.933, 'pos': 0.067, 'compound': 0.4215}	b' ley Sputnik peer reviewed by Lancet . Sinovac 260M worldwide administered. True Science? Probably since the history of standard Russian AK 47, to your screen chipsets, routers probably all China "standard" parts. What ever it takes to heal PH from covid.'
Wed May 12 06:11:02 +0000 2021	{'neg': 0.04, 'neu': 0.805, 'pos': 0.155, 'compound': 0.6757}	b' ley Sputnik submitted everything to what the "western world" wants and still denied to be used/recognized by the west. The case of Sinovac . "Hey its effective too but [insert excuse] we want you to use Western products." Welcome to the world of capitalism.'
Wed May 12 06:10:58 +0000 2021	{'neg': 0.0, 'neu': 0.855, 'pos': 0.145, 'compound': 0.5256}	b"China's Sinovac vaccine is proving more effective than in the testing phase, wiping out Covid-19 among health workers in Indonesia via"
Wed May 12 05:30:52 +0000 2021	{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.6908}	b"Spoke to a Doctor friend last night. He said he preferred sinovac as it's based on more established medicine (but took the Biontech one as it fit his schedule better)."
Wed May 12 04:19:17 +0000 2021	{'neg': 0.109, 'neu': 0.81, 'pos': 0.081, 'compound': -0.25}	b"Indonesia tracked health workers for 28 days after getting their second dose of China's Sinovac vaccine and found that it protected 100% of them from death and 96% from hospitalization via"
Wed May 12 03:59:32 +0000 2021	{'neg': 0.0, 'neu': 0.726, 'pos': 0.274, 'compound': 0.5256}	b'China\xe2\x80\x99s Sinovac shot found highly effective in real world study'
Wed May 12 03:54:26 +0000 2021	{'neg': 0.095, 'neu': 0.832, 'pos': 0.072, 'compound': -0.2656}	b"One of the worst performing vaccines during trials - Sinovac - seems to be very effective when used for real. I'll ask again - has anyone heard of ANY cases of someone dying *of COVID* after being fully vaccinated (2 shots + 2 weeks)? ANY vaccine?"
Wed May 12 03:10:49 +0000 2021	{'neg': 0.0, 'neu': 0.901, 'pos': 0.099, 'compound': 0.3612}	b' Jam Where are the peer reviewed studies published in recognized journals ? Sinovac may well be better than the 50% efficacy seen in Brazil but real evidence not quotes needed. HK has Biontech \xe2\x80\xa6 get that.'
Wed May 12 02:41:31 +0000 2021	{'neg': 0.088, 'neu': 0.787, 'pos': 0.126, 'compound': 0.1779}	b'Some promising signs that Sinovac\'s vaccine is outperforming trials: "Indonesia tracked 25,374 health workers in Jakarta for 28 days after they received their second dose and found that the vaccine protected 100% from death and 96% from hospitalization"'
Wed May 12 02:28:43 +0000 2021	{'neg': 0.0, 'neu': 0.604, 'pos': 0.396, 'compound': 0.8479}	b'Good news for Sinovac , good news for Hong Kong, Sinovac found highly effective in real world study.'
Wed May 12 02:10:45 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'Coronavirus: Sinovac shot causes \xe2\x80\x98drastic drop\xe2\x80\x99 in deaths, infections among Indonesian health workers; variant from India found in more than 44 countries'
Wed May 12 02:00:03 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'As of 8pm last night, about 3,100 persons have made online bookings for receiving their first and second doses of the Sinovac vaccine, while about 9,600 persons have made online bookings for receiving their first and second doses of the BioNTech vaccine.'
Wed May 12 02:00:02 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'\xf0\x9f\x87\xad\xf0\x9f\x87\xb0 COVID-19 Vaccination Statistics, May 11th Sinovac: 4,147 received 1st dose. Total 485,984 3,449 received 2nd dose. Total 348,030 BioNTech: 9,039 received 1st dose. Total 614,460 11,793 received 2nd dose. Total 356,571 1st dose: 1,100,444 Fully vaccinated: 704,601'
Wed May 12 01:53:35 +0000 2021	{'neg': 0.0, 'neu': 0.726, 'pos': 0.274, 'compound': 0.5256}	b'China\xe2\x80\x99s Sinovac Shot Found Highly Effective in Real World Study'
Wed May 12 00:52:50 +0000 2021	{'neg': 0.08, 'neu': 0.855, 'pos': 0.064, 'compound': -0.1174}	b'South-East Asia should not be left aside \xe2\x80\xa6 same access issue for most of the countries which do not receive sinovac support. Equity for ALL is important'
Tue May 11 23:56:25 +0000 2021	{'neg': 0.109, 'neu': 0.81, 'pos': 0.081, 'compound': -0.25}	b"Indonesia tracked health workers for 28 days after getting their second dose of China's Sinovac vaccine and found that it protected 100% of them from death and 96% from hospitalization via"
Tue May 11 14:56:35 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'\xf0\x9f\x87\xad\xf0\x9f\x87\xb0 May 11 Online vaccine signups (4/5) Sinovac 3100 \xe2\x86\x91200 BioNTech 9600 \xe2\x86\x91500 Overall 12700 \xe2\x86\x91700 Cases Involving Persons Sent to Hospital (Last 24 hours ending 0000 May 11): 11 Today\xe2\x80\x99s press release:'
Tue May 11 12:12:15 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'\xf0\x9f\x87\xad\xf0\x9f\x87\xb0 May 11 Vaccinations (2/5) -Sinovac 1st dose 4147 \xe2\x86\x9315.0% 2nd dose 3449 \xe2\x86\x9111.5% -BioNTech 1st dose 9039 \xe2\x86\x9316.8% 2nd dose 11793 \xe2\x86\x9326.5% Total Doses 1805045 -SV 834014 BNT 971031 -1st dose 1100444 SV 485984 BNT 614460 -2nd dose 704601 SV 348030 BNT 356571'
Tue May 11 12:11:18 +0000 2021	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	b'Hong Kong \xf0\x9f\x87\xad\xf0\x9f\x87\xb0 May 11 Vaccinations 14.723% of population vaccinated 9.427% fully vaccinated 24.150 doses administered/100 people 0.176% newly vaccinated May 11: 28428 \xe2\x86\x9318.5% -1st dose 13186 \xe2\x86\x9316.3% -2nd dose 15242 \xe2\x86\x9320.4% -Sinovac 7596 \xe2\x86\x934.7% -BioNTech 20832 \xe2\x86\x9322.6%'
Tue May 11 06:55:56 +0000 2021	{'neg': 0.081, 'neu': 0.774, 'pos': 0.145, 'compound': 0.2263}	b'Noticed sinovac did not even make it on the list. I mean, when your chances are 50/50, that is like doing gun running in the movie WarDogs'
Tue May 11 04:20:42 +0000 2021	{'neg': 0.06, 'neu': 0.893, 'pos': 0.047, 'compound': -0.128}	b'It\xe2\x80\x99s also worth pointing out that Macau may be offering its citizens a \xe2\x80\x9cbetter\xe2\x80\x9d Chinese vaccine: Sinopharm has had efficacy in trials ranging from 79% to 86%, while Sinovac has struggled to get above the WHO\xe2\x80\x99s 50% efficacy threshold.'
Tue May 11 03:54:44 +0000 2021	{'neg': 0.16, 'neu': 0.694, 'pos': 0.146, 'compound': -0.197}	b"When HongKong's vaccine campaign was announced, 10 elderly relatives made a mass booking. They were ready to be protected &amp; protect others. Then came the officials bickering over Sinovac vs BioNTech &amp; the scary media stories. So they cancelled. HK failed in public health comms"
